,fold,grid_fold,lon,lat,date,tile_file,ref_1,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,ref_10,ref_11,Rainf_f_tavg,SWdown_f_tavg,Tair_f_tavg,grassland_pasture,corn,soybean,deciduous_forest,evergreen_forest,developed_open_space,woody_wetlands,open_water,alfalfa,developed_low_intensity,developed_med_intensity,missing_reflectance,SIF,num_soundings,fraction_valid,fine_sif_file,fine_soundings_file
198,1,4,-90.73886999999999,45.80212,2016-06-15,../data/tiles/input_tile_lat_45.80212_lon_-90.73887_2016-06-15.npy,186.8912506103516,203.4380187988281,460.9262390136719,228.2121734619141,3852.60986328125,1645.907958984375,693.2281494140625,2953.311767578125,2933.258544921875,6.427462358260527e-05,289.3826599121094,290.0350646972656,0.0,0.0,0.0,0.5034220814704895,0.010646387934684752,0.0,0.4060836434364319,0.05855513364076615,0.0,0.0,0.0,0.0,0.5795296920771372,9376.0,0.13149999999999995,../data/tiles/fine_sif_lat_45.80212_lon_-90.73887_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.80212_lon_-90.73887_2016-06-15.npy
199,3,3,-92.08634,45.18229,2016-06-15,../data/tiles/input_tile_lat_45.18229_lon_-92.08634_2016-06-15.npy,184.7235107421875,233.6373748779297,529.1513671875,384.97265625,3959.571044921875,1982.5338134765625,1002.8300170898438,2964.0390625,2950.251953125,5.511974813998677e-05,291.80120849609375,291.8170166015625,0.19674038887023929,0.07683352380990982,0.07392316311597824,0.5221187472343445,0.004074505064636469,0.03026775270700455,0.0005820721853524446,0.0,0.06868451833724976,0.0,0.0,0.035900000482797616,0.7532852719468156,12468.0,0.17179999999999995,../data/tiles/fine_sif_lat_45.18229_lon_-92.08634_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.18229_lon_-92.08634_2016-06-15.npy
200,1,4,-90.63107,40.89732,2016-06-15,../data/tiles/input_tile_lat_40.89732_lon_-90.63107_2016-06-15.npy,224.42816162109372,345.5759582519531,699.8731689453125,643.0,3463.07763671875,2026.6798095703125,1097.975830078125,2964.816162109375,2937.96875,2.5172605091938752e-05,306.7289733886719,296.6954650878906,0.056239739060401917,0.04146141186356545,0.13259442150592804,0.05829228088259698,0.0,0.16420361399650574,0.0,0.0,0.0,0.3891625702381134,0.15311986207962036,0.0,0.33614582544120897,37517.0,0.24360000000000004,../data/tiles/fine_sif_lat_40.89732_lon_-90.63107_2016-06-15.npy,../data/tiles/fine_soundings_lat_40.89732_lon_-90.63107_2016-06-15.npy
201,4,1,-93.46077,47.01485,2016-06-15,../data/tiles/input_tile_lat_47.01485_lon_-93.46077_2016-06-15.npy,179.32635498046875,199.8667907714844,423.4224548339844,222.1417694091797,3318.768798828125,1389.252197265625,615.7650146484375,2930.42724609375,2918.75732421875,4.7216650273185217e-05,280.27197265625,290.6484069824219,0.0,0.0,0.0,0.18744052946567533,0.15604186058044436,0.014272121712565422,0.5014272332191467,0.0,0.0,0.0,0.0,0.0,0.2993021836396198,8694.0,0.10509999999999996,../data/tiles/fine_sif_lat_47.01485_lon_-93.46077_2016-06-15.npy,../data/tiles/fine_soundings_lat_47.01485_lon_-93.46077_2016-06-15.npy
202,2,3,-93.27212,42.406490000000005,2016-06-15,../data/tiles/input_tile_lat_42.40649_lon_-93.27212_2016-06-15.npy,285.6386413574219,343.4037780761719,606.8352661132812,504.8579711914063,3506.1962890625,2221.11376953125,1337.6142578125,3021.28369140625,2998.431884765625,5.186541602597572e-05,298.86834716796875,295.15545654296875,0.0600840337574482,0.5285714268684387,0.2852941155433655,0.02815126068890095,0.0,0.061764705926179886,0.0025210084859281783,0.0037815126124769454,0.02142857201397419,0.004201680887490511,0.0004201680712867528,0.0,0.6503311077841301,34808.0,0.23800000000000002,../data/tiles/fine_sif_lat_42.40649_lon_-93.27212_2016-06-15.npy,../data/tiles/fine_soundings_lat_42.40649_lon_-93.27212_2016-06-15.npy
203,0,0,-92.19414,41.46326,2016-06-15,../data/tiles/input_tile_lat_41.46326_lon_-92.19414_2016-06-15.npy,256.58724975585943,330.9783935546875,677.4686279296875,471.6478576660156,4739.47607421875,2032.9779052734373,945.512939453125,2951.573974609375,2918.690673828125,2.8409944206941876e-05,306.1499938964844,296.40032958984375,0.06325777620077133,0.4855034351348877,0.1407485455274582,0.2324723303318024,0.0,0.01739588752388954,0.0031628888100385666,0.0,0.04586188867688179,0.0094886664301157,0.0,0.2912000119686127,0.7570560082018585,34653.0,0.1897,../data/tiles/fine_sif_lat_41.46326_lon_-92.19414_2016-06-15.npy,../data/tiles/fine_soundings_lat_41.46326_lon_-92.19414_2016-06-15.npy
204,2,2,-90.60412,41.38241,2016-06-15,../data/tiles/input_tile_lat_41.38241_lon_-90.60412_2016-06-15.npy,335.40936279296875,415.0630493164063,736.8367309570312,683.0277099609375,3588.35986328125,2399.62060546875,1329.515380859375,3026.84423828125,3001.334716796875,3.2622898288536824e-05,309.13665771484375,296.175048828125,0.2494933605194092,0.1607746034860611,0.2159423530101776,0.28169330954551697,0.0,0.030173383653163913,0.0,0.00427831569686532,0.0009006980690173805,0.05156496167182922,0.003827966749668121,0.0,0.6061268646026445,31008.0,0.4441000000000001,../data/tiles/fine_sif_lat_41.38241_lon_-90.60412_2016-06-15.npy,../data/tiles/fine_soundings_lat_41.38241_lon_-90.60412_2016-06-15.npy
205,0,4,-93.89196,46.47586,2016-06-15,../data/tiles/input_tile_lat_46.47586_lon_-93.89196_2016-06-15.npy,251.28619384765625,281.19570922851557,510.0874938964844,351.01318359375,2931.7548828125,1451.8106689453125,729.42041015625,2950.418212890625,2935.58251953125,3.7409547076094896e-05,288.8636474609375,291.74798583984375,0.019230769947171208,0.0,0.0,0.2673453986644745,0.0018853695364668965,0.2680995464324951,0.12292609363794328,0.17081448435783386,0.00037707391311414534,0.06485671550035478,0.027149321511387825,0.15440000593662262,0.4182366673507324,13221.0,0.2652,../data/tiles/fine_sif_lat_46.47586_lon_-93.89196_2016-06-15.npy,../data/tiles/fine_soundings_lat_46.47586_lon_-93.89196_2016-06-15.npy
206,2,2,-93.83806,46.34111,2016-06-15,../data/tiles/input_tile_lat_46.34111_lon_-93.83806_2016-06-15.npy,276.29513549804693,297.45684814453125,508.8753662109375,359.5750732421875,2688.676025390625,1485.870849609375,743.1881713867188,2947.443115234375,2934.6826171875,3.817965625785291e-05,289.5111999511719,291.7536315917969,0.008814590051770209,0.0,0.0003039513539988548,0.22310030460357666,0.0033434650395065546,0.033434651792049415,0.16899695992469788,0.3033434748649597,0.0,0.0021276595070958138,0.0,0.07360000163316728,0.4396117658599487,11841.0,0.329,../data/tiles/fine_sif_lat_46.34111_lon_-93.83806_2016-06-15.npy,../data/tiles/fine_soundings_lat_46.34111_lon_-93.83806_2016-06-15.npy
207,3,2,-93.00263000000001,44.6972,2016-06-15,../data/tiles/input_tile_lat_44.6972_lon_-93.00263_2016-06-15.npy,383.3508605957031,452.1092834472656,773.068359375,712.4425048828125,3447.166015625,2531.4736328125,1724.30322265625,3005.667724609375,2979.46435546875,5.2696672355523326e-05,294.52777099609375,293.5496826171875,0.05903676897287369,0.554375946521759,0.1789228320121765,0.00284826522693038,0.0,0.03340238332748413,0.0,0.0,0.004142931196838617,0.003107198281213641,0.0007767995703034103,0.0,0.6097753945865766,44469.0,0.3862,../data/tiles/fine_sif_lat_44.6972_lon_-93.00263_2016-06-15.npy,../data/tiles/fine_soundings_lat_44.6972_lon_-93.00263_2016-06-15.npy
208,3,0,-90.79276999999999,45.77518,2016-06-15,../data/tiles/input_tile_lat_45.77518_lon_-90.79277_2016-06-15.npy,198.77088928222656,213.90234375,508.18780517578125,239.2488250732422,4217.24609375,1826.6131591796875,759.3126831054688,2955.369873046875,2934.922119140625,6.53326278552413e-05,289.8271789550781,290.1255798339844,0.0,0.0,0.0,0.6272300481796265,0.007511737290769814,0.051643192768096924,0.2920187711715698,0.0037558686453849077,0.0,0.0,0.0,0.0,0.4418904306637755,7727.0,0.10650000000000004,../data/tiles/fine_sif_lat_45.77518_lon_-90.79277_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.77518_lon_-90.79277_2016-06-15.npy
209,3,3,-92.0055,45.18229,2016-06-15,../data/tiles/input_tile_lat_45.18229_lon_-92.0055_2016-06-15.npy,236.31059245960503,293.75852782764815,613.4901256732495,396.63644524236986,4655.464093357271,1933.0556552962296,916.9937163375224,2901.389587073609,2884.5377019748653,5.7609260703222374e-05,291.7053407569762,291.8465084438906,0.02603231597845601,0.13464991023339318,0.01974865350089766,0.6750448833034112,0.012567324955116695,0.0,0.018850987432675045,0.0,0.09425493716337524,0.0,0.0,0.4971,0.7666300850319645,13750.0,0.11140000000000004,../data/tiles/fine_sif_lat_45.18229_lon_-92.0055_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.18229_lon_-92.0055_2016-06-15.npy
210,3,1,-93.32602,44.96669,2016-06-15,../data/tiles/input_tile_lat_44.96669_lon_-93.32602_2016-06-15.npy,315.258056640625,362.7922668457031,584.9661865234375,489.02423095703125,2806.06396484375,1441.204833984375,809.9584350585938,3006.118408203125,2982.331787109375,4.356299177743495e-05,296.3194885253906,293.4649658203125,0.0005326231475919485,0.0,0.0,0.020239681005477902,0.0,0.4761651158332825,0.0,0.09214381128549576,0.0,0.2908122539520264,0.0820239707827568,0.0,0.3410978781712494,13142.0,0.3755,../data/tiles/fine_sif_lat_44.96669_lon_-93.32602_2016-06-15.npy,../data/tiles/fine_soundings_lat_44.96669_lon_-93.32602_2016-06-15.npy
211,3,4,-96.5869,44.3738,2016-08-01,../data/tiles/input_tile_lat_44.3738_lon_-96.5869_2016-08-01.npy,245.8606719970703,288.79718017578125,570.1719360351562,434.3800659179688,3801.40380859375,2305.016845703125,1122.2548828125,2968.8720703125,2949.380126953125,4.696255928138271e-05,261.26077270507807,294.9924621582031,0.6693121790885925,0.013227513059973715,0.18783068656921387,0.0,0.0,0.005291005130857229,0.0,0.0,0.07495591044425964,0.0,0.0,0.0,0.23678176607803025,10536.0,0.11339999999999995,../data/tiles/fine_sif_lat_44.3738_lon_-96.5869_2016-08-01.npy,../data/tiles/fine_soundings_lat_44.3738_lon_-96.5869_2016-08-01.npy
212,2,2,-93.00263000000001,44.72415,2016-06-15,../data/tiles/input_tile_lat_44.72415_lon_-93.00263_2016-06-15.npy,350.70294189453125,421.2794494628906,774.7717895507812,666.6856079101562,3951.42626953125,2325.8828125,1528.407470703125,2967.215576171875,2946.609130859375,5.2507512009469785e-05,294.540283203125,293.5523376464844,0.12974052131175995,0.37957417964935297,0.0934797078371048,0.005655355751514435,0.0,0.024617431685328484,0.0,0.0,0.007651363965123892,0.009647372178733349,0.002328675938770175,0.0,0.5674365923621724,23358.0,0.3006,../data/tiles/fine_sif_lat_44.72415_lon_-93.00263_2016-06-15.npy,../data/tiles/fine_soundings_lat_44.72415_lon_-93.00263_2016-06-15.npy
213,4,1,-96.9103,41.032070000000004,2016-06-15,../data/tiles/input_tile_lat_41.03207_lon_-96.9103_2016-06-15.npy,219.33599853515625,307.175537109375,648.7455444335938,516.1835327148439,3572.761474609375,2117.866943359375,1024.4769287109377,3003.833251953125,2968.974365234375,1.7939384633791633e-05,306.51824951171875,297.46087646484375,0.7535461187362671,0.10283687710762024,0.01773049682378769,0.07801418751478195,0.0,0.011524822562932968,0.0008865247946232556,0.02482269518077373,0.0,0.0,0.0,0.0,0.5169084422018935,11968.0,0.1128,../data/tiles/fine_sif_lat_41.03207_lon_-96.9103_2016-06-15.npy,../data/tiles/fine_soundings_lat_41.03207_lon_-96.9103_2016-06-15.npy
214,1,4,-91.43956,46.47586,2016-06-15,../data/tiles/input_tile_lat_46.47586_lon_-91.43956_2016-06-15.npy,151.57240295410156,227.2368011474609,517.1521606445311,350.4082946777344,3650.60302734375,1579.632568359375,770.029541015625,2883.1357421875,2864.36962890625,4.7416706365766e-05,281.17678833007807,289.4208068847656,0.0,0.0,0.0,0.3691084682941437,0.3901192545890808,0.08574673533439636,0.014196479693055153,0.0,0.0,0.000567859155125916,0.0,0.02339999936521053,0.516914125837617,13600.0,0.17610000000000006,../data/tiles/fine_sif_lat_46.47586_lon_-91.43956_2016-06-15.npy,../data/tiles/fine_soundings_lat_46.47586_lon_-91.43956_2016-06-15.npy
215,1,1,-91.6282,41.571059999999996,2016-06-15,../data/tiles/input_tile_lat_41.57106_lon_-91.6282_2016-06-15.npy,214.81298828125,318.27325439453125,695.6821899414062,524.18505859375,4353.58837890625,2147.857666015625,958.3081665039062,2941.984375,2909.919677734375,4.1703911847434945e-05,309.05145263671875,296.3016052246094,0.1094961240887642,0.4883720874786377,0.27906978130340576,0.037790697067976,0.0,0.03488372266292572,0.0,0.0,0.020348837599158287,0.01550387591123581,0.0009689922444522381,0.13369999825954434,0.4597876086574864,10014.0,0.10319999999999996,../data/tiles/fine_sif_lat_41.57106_lon_-91.6282_2016-06-15.npy,../data/tiles/fine_soundings_lat_41.57106_lon_-91.6282_2016-06-15.npy
